item_id,day,month,year,season
2,3,5,2019,spring
5,3,5,2019,spring
16,3,5,2019,spring
2,4,5,2019,spring
5,4,5,2019,spring
16,4,5,2019,spring
2,5,5,2019,spring
5,5,5,2019,spring
16,5,5,2019,spring
9,6,5,2019,spring
14,6,5,2019,spring
15,6,5,2019,spring
9,7,5,2019,spring
14,7,5,2019,spring
15,7,5,2019,spring
9,8,5,2019,spring
14,8,5,2019,spring
15,8,5,2019,spring
2,9,5,2019,spring
5,9,5,2019,spring
16,9,5,2019,spring
2,10,5,2019,spring
5,10,5,2019,spring
16,10,5,2019,spring
9,11,5,2019,spring
14,11,5,2019,spring
15,11,5,2019,spring
2,12,5,2019,spring
5,12,5,2019,spring
16,12,5,2019,spring
2,13,5,2019,spring
5,13,5,2019,spring
16,13,5,2019,spring
2,14,5,2019,spring
5,14,5,2019,spring
16,14,5,2019,spring
9,15,5,2019,spring
14,15,5,2019,spring
15,15,5,2019,spring
9,16,5,2019,spring
14,16,5,2019,spring
15,16,5,2019,spring
2,17,5,2019,spring
5,17,5,2019,spring
16,17,5,2019,spring
2,18,5,2019,spring
5,18,5,2019,spring
16,18,5,2019,spring
2,19,5,2019,spring
5,19,5,2019,spring
16,19,5,2019,spring
2,20,5,2019,spring
5,20,5,2019,spring
16,20,5,2019,spring
9,21,5,2019,spring
14,21,5,2019,spring
15,21,5,2019,spring
9,22,5,2019,spring
14,22,5,2019,spring
15,22,5,2019,spring
9,23,5,2019,spring
14,23,5,2019,spring
15,23,5,2019,spring
2,24,5,2019,spring
5,24,5,2019,spring
16,24,5,2019,spring
9,25,5,2019,spring
14,25,5,2019,spring
15,25,5,2019,spring
9,26,5,2019,spring
14,26,5,2019,spring
15,26,5,2019,spring
2,27,5,2019,spring
5,27,5,2019,spring
16,27,5,2019,spring
2,28,5,2019,spring
5,28,5,2019,spring
16,28,5,2019,spring
9,29,5,2019,spring
14,29,5,2019,spring
15,29,5,2019,spring
9,30,5,2019,spring
14,30,5,2019,spring
15,30,5,2019,spring
9,31,5,2019,spring
14,31,5,2019,spring
15,31,5,2019,spring
2,1,6,2019,spring
5,1,6,2019,spring
16,1,6,2019,spring
2,2,6,2019,spring
5,2,6,2019,spring
16,2,6,2019,spring
9,3,6,2019,spring
14,3,6,2019,spring
15,3,6,2019,spring
2,4,6,2019,spring
5,4,6,2019,spring
16,4,6,2019,spring
2,5,6,2019,spring
5,5,6,2019,spring
16,5,6,2019,spring
2,6,6,2019,spring
5,6,6,2019,spring
16,6,6,2019,spring
2,7,6,2019,spring
5,7,6,2019,spring
16,7,6,2019,spring
9,8,6,2019,spring
14,8,6,2019,spring
15,8,6,2019,spring
9,9,6,2019,spring
14,9,6,2019,spring
15,9,6,2019,spring
2,10,6,2019,spring
5,10,6,2019,spring
16,10,6,2019,spring
2,11,6,2019,spring
5,11,6,2019,spring
16,11,6,2019,spring
2,12,6,2019,spring
5,12,6,2019,spring
16,12,6,2019,spring
2,13,6,2019,spring
5,13,6,2019,spring
16,13,6,2019,spring
9,14,6,2019,spring
14,14,6,2019,spring
15,14,6,2019,spring
9,15,6,2019,spring
14,15,6,2019,spring
15,15,6,2019,spring
9,16,6,2019,spring
14,16,6,2019,spring
15,16,6,2019,spring
9,17,6,2019,spring
14,17,6,2019,spring
15,17,6,2019,spring
9,18,6,2019,spring
14,18,6,2019,spring
15,18,6,2019,spring
2,19,6,2019,spring
5,19,6,2019,spring
16,19,6,2019,spring
9,20,6,2019,spring
